restaurant_name,city,location,cuisines,average_cost,aggregate_rating,votes,has_online_delivery,has_table_booking,rest_type,dish_liked
Chai Galli,Koramangala 7Th Block,Koramangala 5Th Block,"Cafe, Tea, Street Food",450.0,4.4,481,True,False,Cafe,"Tea, Chai, Margherita Pizza, Sandwiches, Corn Sandwich, Paneer Parantha, Brownie"
Pebble,Malleshwaram,Sadashiv Nagar,Finger Food,1500.0,3.9,481,False,False,Club,"Cocktails, Pepper Chicken"
KFC,Koramangala 6Th Block,Koramangala 6Th Block,"Burger, Fast Food",450.0,3.8,480,True,False,Quick Bites,"Rice Bowl, Burgers, Hot Wings, Virgin Mojito, Chicken Popcorn, Fries, Zinger Burger"
Beijing Bites,Btm,Btm,"Chinese, Thai",850.0,3.7,479,True,False,Casual Dining,"Noodles, Manchow Soup, Dragon Chicken, Crispy Chicken, Prawn, Chicken Spring Rolls, Spring Roll"
Bageecha,Brookefield,Marathahalli,"North Indian, Chinese",650.0,2.2,479,True,False,Casual Dining,"Schezwan Chicken, Butter Chicken, Beer, Onion Pakoda, Tandoori Chicken, Dal Makhani, Lemon Chicken"
Oota Bangalore,Whitefield,Whitefield,South Indian,1700.0,4.6,478,False,False,Casual Dining,"Cocktails, Craft Beer, Chicken Sukha, Murgh Ghee Roast, Biryani, Neer Dosa, Vada"
7 Days Restaurant,Electronic City,Electronic City,"North Indian, Chinese, Arabian",400.0,3.8,478,True,False,Quick Bites,"Egg Noodles, Lamb Chops, Hyderabadi Chicken Dum Biryani, Gajar Ka Halwa, Al Faham Chicken, Fried Rice"
Domino's Pizza,Electronic City,Electronic City,"Pizza, Fast Food",400.0,2.7,477,True,False,Quick Bites,"Garlic Bread, Thin Crust Pizza, Pizza Burger"
Banjara Melting Pot,Malleshwaram,Cunningham Road,"North Indian, Chinese, Seafood",1700.0,4.2,476,True,True,Casual Dining,"Lamb Curry, Cocktails, Neer Dosa, Veg Starter, Prawn Ghee Roast, Chicken Biryani, Mocktails"
Enchanted Garden,Whitefield,Whitefield,"North Indian, Continental, Italian, Cafe, Pizza, Finger Food",1400.0,4.3,476,True,True,"Casual Dining, Cafe","Mocktails, Burgers, Pavbhaji Pizza, Paneer Tikka, Sandwiches, Pasta, Salad"
